urban,age,marital_status,given_birth,dob,dom,age_mar,partner_age,ethnicity,language,birth_year,birth_month,birth_day,marriage_year,marriage_month,marriage_day
1,30,1,1,1017,588.0,21,34.0,1,1.0,9,11,20.0,17.0,11.0,16.0
1,32,1,1,22,298.0,28,40.0,1,1.0,18,7,19.0,6.0,4.0,28.0
1,20,1,2,613,295.0,18,24.0,2,1.0,27,6,26.0,25.0,5.0,10.0
2,46,1,1,691,503.0,18,47.0,1,1.0,4,11,16.0,23.0,10.0,19.0
1,22,2,2,359,,NIU,,1,1.0,31,9,7.0,,,
1,47,1,1,1774,1191.0,36,46.0,1,1.0,8,5,23.0,20.0,8.0,22.0
2,15,2,2,16,,NIU,,5,3.0,35,10,11.0,,,
1,18,2,2,106,,NIU,,1,1.0,25,9,30.0,,,
2,40,2,2,713,,NIU,,1,1.0,2,5,25.0,,,
1,30,1,1,215,140.0,25,32.0,1,1.0,10,4,29.0,3.0,5.0,9.0
2,31,3,1,2491,1742.0,15,,1,1.0,10,9,14.0,9.0,10.0,18.0
1,24,2,2,214,,NIU,,1,1.0,29,3,13.0,,,
2,49,1,1,1016,563.0,23,48.0,1,1.0,36,12,5.0,19.0,2.0,12.0
1,32,1,1,1775,1216.0,29,32.0,1,1.0,18,5,19.0,25.0,6.0,24.0
2,34,1,1,524,299.0,22,35.0,1,1.0,15,11,9.0,20.0,6.0,5.0
1,25,2,2,216,,NIU,,1,1.0,29,5,2.0,,,
1,23,1,2,700,502.0,19,25.0,1,1.0,31,5,4.0,11.0,3.0,12.0
2,47,1,1,357,149.0,21,48.0,1,1.0,8,8,5.0,19.0,11.0,10.0
1,22,2,2,217,,NIU,,1,1.0,23,9,30.0,,,
2,30,1,1,2490,656.0,20,36.0,1,1.0,9,6,12.0,4.0,3.0,16.0
2,34,1,1,238,160.0,30,33.0,2,1.0,15,7,25.0,6.0,1.0,9.0
2,23,1,1,1244,909.0,18,30.0,1,1.0,31,6,8.0,3.0,5.0,22.0
2,15,2,2,530,,NIU,,1,1.0,32,3,23.0,,,
1,36,1,1,352,1215.0,17,29.0,1,1.0,13,9,12.0,22.0,7.0,1.0
2,47,1,1,531,488.0,26,48.0,1,1.0,8,2,11.0,2.0,6.0,5.0
1,45,1,1,1773,1257.0,25,49.0,1,1.0,11,10,10.0,22.0,9.0,27.0
1,25,2,2,216,,NIU,,1,1.0,29,5,2.0,,,
2,39,2,2,2496,,NIU,,1,1.0,24,5,26.0,,,
2,45,1,1,2495,1664.0,14,50.0,1,1.0,11,5,5.0,32.0,5.0,13.0
2,40,1,1,3,85.0,19,46.0,1,1.0,2,8,16.0,18.0,10.0,17.0
1,49,1,1,189,106.0,30,51.0,1,1.0,6,9,6.0,22.0,2.0,18.0
2,49,1,1,1259,848.0,11,55.0,5,3.0,36,3,20.0,37.0,6.0,20.0
1,36,1,1,523,27.0,32,32.0,1,1.0,5,9,8.0,6.0,8.0,4.0
1,42,1,1,2494,286.0,35,41.0,1,1.0,14,5,14.0,8.0,3.0,30.0
2,47,1,1,186,73.0,18,58.0,1,1.0,8,2,29.0,30.0,11.0,3.0
1,47,1,1,239,455.0,21,55.0,1,1.0,8,6,27.0,19.0,3.0,16.0
1,30,1,1,2493,1256.0,25,33.0,1,1.0,9,11,11.0,3.0,2.0,1.0
1,33,1,1,63,36.0,21,39.0,1,1.0,22,4,29.0,20.0,8.0,10.0
1,36,1,1,2492,282.0,31,35.0,1,1.0,13,12,30.0,3.0,2.0,9.0
2,32,3,1,53,88.0,14,,1,1.0,18,10,30.0,1.0,7.0,23.0
1,24,1,2,1075,637.0,23,27.0,1,1.0,29,4,14.0,28.0,1.0,25.0
2,47,2,2,1202,,NIU,,1,1.0,8,7,28.0,,,
2,36,1,1,400,169.0,16,37.0,1,1.0,5,6,18.0,2.0,5.0,28.0
2,47,1,1,562,285.0,14,54.0,1,1.0,8,4,19.0,33.0,1.0,12.0
1,21,2,2,651,,NIU,,1,1.0,21,7,4.0,,,
2,31,1,1,650,454.0,17,39.0,1,1.0,18,4,17.0,7.0,2.0,3.0
1,21,2,2,316,,NIU,,1,1.0,21,7,6.0,,,
2,25,1,1,649,849.0,16,29.0,1,1.0,29,9,24.0,12.0,6.0,20.0
2,37,1,1,17,57.0,29,38.0,1,1.0,1,3,6.0,12.0,2.0,7.0
2,37,1,1,240,131.0,22,40.0,1,1.0,1,4,21.0,13.0,11.0,25.0
2,30,1,1,1853,1295.0,16,38.0,1,1.0,9,9,12.0,5.0,9.0,20.0
1,45,1,1,315,441.0,19,48.0,1,1.0,11,1,5.0,27.0,4.0,24.0
1,18,2,2,106,,NIU,,1,1.0,25,9,30.0,,,
1,17,2,2,367,,NIU,,1,1.0,33,1,25.0,,,
1,49,3,1,648,440.0,18,,1,1.0,36,4,17.0,33.0,3.0,23.0
2,19,2,2,42,,NIU,,1,1.0,28,10,1.0,,,
1,22,2,2,683,,NIU,,1,1.0,31,4,13.0,,,
1,48,1,1,27,18.0,27,52.0,1,1.0,3,1,21.0,2.0,5.0,9.0
1,36,1,1,147,32.0,23,38.0,1,1.0,5,1,31.0,16.0,7.0,2.0
2,38,1,1,41,830.0,29,44.0,1,1.0,1,9,16.0,17.0,2.0,18.0
1,46,1,1,1930,1282.0,19,51.0,1,1.0,4,1,10.0,19.0,4.0,14.0
1,49,3,1,262,130.0,22,,1,1.0,6,5,14.0,23.0,10.0,15.0
2,44,1,1,1931,1281.0,22,48.0,1,1.0,16,10,7.0,15.0,7.0,13.0
2,30,1,1,2457,1660.0,27,32.0,1,1.0,10,3,13.0,6.0,3.0,16.0
2,48,1,1,866,78.0,21,50.0,1,1.0,3,11,17.0,23.0,8.0,31.0
1,47,1,1,96,53.0,29,50.0,1,1.0,3,12,6.0,1.0,7.0,25.0
1,22,2,2,571,,NIU,,1,1.0,23,1,6.0,,,
2,38,1,1,572,290.0,24,41.0,1,1.0,1,10,11.0,7.0,5.0,28.0
2,49,2,2,635,,NIU,,1,1.0,36,3,11.0,,,
1,45,1,1,193,22.0,28,45.0,1,1.0,11,7,30.0,13.0,9.0,21.0
1,39,1,1,1900,659.0,20,42.0,2,1.0,24,2,6.0,22.0,10.0,31.0
2,48,1,1,1045,660.0,19,56.0,1,1.0,3,11,18.0,30.0,2.0,13.0
1,45,1,1,30,17.0,21,52.0,2,2.0,4,3,17.0,14.0,3.0,12.0
1,23,2,2,1044,,NIU,,1,1.0,31,1,21.0,,,
2,31,1,2,34,128.0,29,24.0,1,1.0,10,9,7.0,28.0,4.0,3.0
2,27,3,2,1103,281.0,22,,1,1.0,19,12,30.0,3.0,1.0,24.0
2,28,1,1,1938,1342.0,23,30.0,2,1.0,19,8,28.0,3.0,9.0,23.0
2,49,1,1,1016,563.0,23,48.0,1,1.0,36,12,5.0,19.0,2.0,12.0
2,15,2,2,1939,,NIU,,1,1.0,35,2,24.0,,,
2,32,1,1,66,15.0,19,39.0,4,1.0,18,2,22.0,5.0,2.0,29.0
1,40,1,1,33,134.0,25,46.0,1,1.0,2,8,6.0,9.0,11.0,15.0
2,43,1,1,185,208.0,23,47.0,1,1.0,20,6,17.0,2.0,8.0,22.0
1,40,1,1,33,134.0,25,46.0,1,1.0,2,8,6.0,9.0,11.0,15.0
1,17,2,2,1148,,NIU,,1,1.0,33,1,29.0,,,
2,34,1,1,60,178.0,23,35.0,1,1.0,15,2,26.0,20.0,8.0,23.0
2,27,1,1,1940,1610.0,20,27.0,1,1.0,30,8,13.0,8.0,10.0,10.0
1,44,1,1,624,392.0,22,43.0,1,1.0,16,4,17.0,18.0,10.0,29.0
2,34,1,1,623,391.0,17,39.0,1,1.0,15,7,22.0,21.0,12.0,13.0
