Unnamed: 0.1,Unnamed: 0,OCCP,RAC2P,ST,CIT,ESR,SCHL,MAR,SEX,PUMA,PUMA_FULL,DOB,DOB-Day-str,DOB-Month-str,DOB-Year-str,PUMA_og,DOB-Day,DOB-Month,DOB-Year,age,weight,DOB-str,DOB-dt
2486642,59471592,186,1,29,1,1,25,1,2,2000,1776,23512,11,January,1995,2902000,18,1,66,31,315,11 January 1995,1995-01-11
681451,40286612,1,1,1,1,2,14,2,1,8005,237,28824,28,July,2009,108005,20,2,80,16,144,28 July 2009,2009-07-28
1658299,1954609,1,1,20,1,2,17,2,1,200,2060,7610,29,June,1951,1900200,29,8,22,74,104,29 June 1951,1951-06-29
2541026,89776580,1,1,3,1,3,1,1,1,1004,560,34782,19,November,2025,301004,25,9,96,0,88,19 November 2025,2025-11-19
626850,87944512,185,1,12,1,1,17,2,2,1300,28,20224,10,January,1986,1201300,7,1,57,40,218,10 January 1986,1986-01-10
1093958,75531295,41,1,11,1,1,20,2,2,302,1650,15415,10,November,1972,1100302,7,9,43,53,114,10 November 1972,1972-11-10
3025284,14124399,18,1,32,1,1,23,2,1,200,460,25333,6,January,2000,3200200,27,1,71,26,148,6 January 2000,2000-01-06
2140048,101087499,115,1,5,1,1,22,2,2,3502,916,24836,27,August,1998,503502,17,12,69,27,97,27 August 1998,1998-08-27
2619121,4969208,108,1,15,1,1,21,3,1,3800,770,8944,22,February,1955,1503800,9,10,26,70,144,22 February 1955,1955-02-22
1497940,92665188,1,1,13,1,2,17,4,1,1801,1303,2128,25,June,1936,1301801,21,8,7,89,114,25 June 1936,1936-06-25
490754,4395045,4,1,23,1,1,17,2,1,2300,448,17990,29,November,1979,2302300,29,9,50,46,440,29 November 1979,1979-11-29
1262619,56452066,1,2,31,1,3,12,1,2,500,1262,29229,6,September,2010,3100500,27,11,81,15,237,6 September 2010,2010-09-06
1371419,3078021,81,1,5,1,1,20,1,1,3402,392,26710,14,October,2003,503402,22,5,74,22,128,14 October 2003,2003-10-14
406370,53524269,1,1,21,1,3,6,1,1,100,92,31822,12,October,2017,2100100,11,5,88,8,26,12 October 2017,2017-10-12
1103015,78074399,31,1,11,3,1,20,2,1,1800,1871,15089,20,December,1971,1101800,4,3,42,54,209,20 December 1971,1971-12-20
1156311,100213792,1,1,37,1,3,10,1,2,200,685,30546,15,April,2014,3700200,16,7,85,11,124,15 April 2014,2014-04-15
773090,84555358,1,1,12,1,3,10,1,1,1500,622,30228,1,June,2013,1201500,3,8,84,12,59,1 June 2013,2013-06-01
1638098,24152318,39,1,1,2,1,10,2,2,1403,490,16934,7,January,1977,101403,19,1,48,49,115,7 January 1977,1977-01-07
1115641,78964111,1,2,4,1,2,13,5,1,2608,970,14893,7,June,1971,402608,19,8,42,54,265,7 June 1971,1971-06-07
2848065,67354664,65,1,4,1,1,20,2,1,800,643,18016,25,December,1979,400800,21,3,50,46,82,25 December 1979,1979-12-25
77506,65766330,2,1,4,1,1,12,2,2,3509,131,11899,27,March,1963,403509,17,6,34,62,232,27 March 1963,1963-03-27
2274751,59963885,51,1,18,1,1,22,2,2,1601,244,23863,28,December,1995,1801601,20,3,66,30,103,28 December 1995,1995-12-28
515778,91572226,2,10,40,3,1,17,1,2,301,966,26910,1,May,2004,4000301,3,4,75,21,75,1 May 2004,2004-05-01
1148874,67423228,1,1,2,1,3,12,1,2,5611,1185,29372,27,January,2011,205611,17,1,82,14,343,27 January 2011,2011-01-27
969119,75666919,1,1,2,1,2,17,2,1,6701,839,26052,25,December,2001,206701,21,3,72,24,285,25 December 2001,2001-12-25
1464913,15768475,139,1,33,1,1,23,2,2,1300,161,20555,7,December,1986,3401300,19,3,57,39,92,7 December 1986,1986-12-07
2633628,811554,4,1,20,1,1,21,2,1,2102,834,12315,16,May,1964,1902102,23,4,35,61,169,16 May 1964,1964-05-16
1540646,63105353,175,1,4,4,6,21,2,2,300,362,26787,30,December,2003,400300,30,3,74,22,137,30 December 2003,2003-12-30
327101,42967029,1,4,1,1,3,4,1,1,2302,1535,32330,4,March,2019,102302,15,6,90,6,194,4 March 2019,2019-03-04
265156,88866838,60,1,9,1,1,20,3,1,1303,1771,11548,10,April,1962,1001303,7,7,33,63,71,10 April 1962,1962-04-10
1644858,84527008,1,3,3,1,3,1,1,1,3706,1991,34792,29,November,2025,303706,29,9,96,0,176,29 November 2025,2025-11-29
2664566,25600686,11,2,28,1,1,22,2,1,400,87,21303,24,December,1988,2800400,26,3,59,37,126,24 December 1988,1988-12-24
2205639,70014250,1,1,2,1,3,1,1,1,4801,1106,34450,22,December,2024,204801,9,3,95,1,392,22 December 2024,2024-12-22
179483,44628799,1,1,8,1,3,7,1,2,2501,871,31409,25,August,2016,802501,21,12,87,9,312,25 August 2016,2016-08-25
1031204,44135715,1,1,1,1,2,19,1,2,8107,757,27286,12,May,2005,108107,11,4,76,20,198,12 May 2005,2005-05-12
1186223,73120047,1,2,11,1,3,8,1,2,400,1603,31235,4,March,2016,1100400,15,6,87,9,184,4 March 2016,2016-03-04
2996035,14753956,141,1,32,1,2,21,1,2,1100,38,26929,20,May,2004,3201100,4,4,75,21,380,20 May 2004,2004-05-20
1282430,40232029,1,1,6,1,3,1,1,1,2300,1053,34304,29,July,2024,602300,29,2,95,1,136,29 July 2024,2024-07-29
68111,6795475,1,1,16,1,2,17,2,1,102,1024,8126,26,November,1952,1600102,13,9,23,73,74,26 November 1952,1952-11-26
1330352,2016250,1,1,20,1,3,12,1,1,700,6,29498,2,June,2011,1900700,5,8,82,14,48,2 June 2011,2011-06-02
2359325,54456751,1,1,17,1,2,12,2,2,900,428,7488,27,February,1951,1700900,17,10,22,74,76,27 February 1951,1951-02-27
139382,96027183,69,3,3,1,1,22,1,1,4107,1809,25051,30,March,1999,304107,30,6,70,26,216,30 March 1999,1999-03-30
2347500,7119405,1,1,15,1,3,7,1,2,2307,1301,31422,7,September,2016,1502307,19,11,87,9,89,7 September 2016,2016-09-07
2705788,33099661,1,2,19,1,3,13,1,1,1105,565,29116,16,May,2010,2001105,23,4,81,15,215,16 May 2010,2010-05-16
1369915,32609955,1,2,19,1,2,19,4,2,506,1623,3826,17,February,1941,2000506,2,10,12,84,199,17 February 1941,1941-02-17
228566,75454415,28,1,4,1,1,25,2,1,2701,1068,22842,12,March,1993,402701,11,6,64,32,52,12 March 1993,1993-03-12
282180,81508625,299,1,34,1,1,17,1,2,400,163,19243,5,May,1983,3300400,24,4,54,42,88,5 May 1983,1983-05-05
857647,46533163,73,1,8,1,1,17,2,2,3100,883,16320,4,May,1975,803100,15,4,46,50,29,4 May 1975,1975-05-04
1127428,12075667,1,1,7,1,2,15,1,1,302,1921,28961,12,December,2009,700302,11,3,80,16,81,12 December 2009,2009-12-12
732964,2545900,28,1,5,1,1,20,2,1,3403,290,14760,25,January,1971,503403,21,1,42,54,124,25 January 1971,1971-01-25
14259,21790228,46,1,1,1,1,20,2,2,2410,307,17934,4,October,1979,102410,15,5,50,46,64,4 October 1979,1979-10-04
1532846,1946589,1,1,23,1,2,22,2,2,2300,448,8818,19,October,1954,2302300,25,5,25,71,119,19 October 1954,1954-10-19
1375539,50382692,114,1,17,4,2,17,1,1,2400,320,28458,27,July,2008,1702400,17,2,79,17,21,27 July 2008,2008-07-27
844779,22459318,1,1,1,1,3,8,1,1,8105,238,30992,5,July,2015,108105,24,2,86,10,64,5 July 2015,2015-07-05
