CLASE_VIV,SEXO,EDAD,ENT_PAIS_NAC,DHSERSAL1,RELIGION,HLENGUA,HESPANOL,ASISTEN,NIVACAD,SITUA_CONYUGAL,HIJOS_NAC_VIVOS,ZIP_CODE
1,2,23,8,2,1,1,1,1,7,1,24,1493
1,2,1,28,2,2,3,1,3,10,2,24,945
3,1,73,19,5,1,1,1,1,3,6,6,238
1,1,23,4,5,1,1,1,2,4,3,1,677
3,2,31,4,3,1,1,1,1,8,6,24,185
1,2,27,2,3,8,1,1,1,7,5,24,2866
1,1,61,1,5,1,1,1,1,14,6,4,6605
2,1,45,28,1,2,1,1,1,7,5,5,981
3,2,24,19,3,1,1,1,1,4,3,24,747
1,1,73,2,2,1,1,1,1,3,4,4,16533
1,2,5,20,1,2,1,1,2,2,2,24,1020
1,2,62,7,1,3,1,1,1,6,5,24,721
1,1,15,19,3,1,2,2,2,7,3,1,517
1,2,15,27,1,1,1,1,2,7,3,24,1023
1,2,14,5,1,1,1,1,2,3,3,24,16532
1,1,39,17,2,1,1,1,1,7,6,4,16531
1,1,72,25,3,1,1,1,1,3,4,3,51
1,2,17,9,3,1,1,1,2,7,3,24,1125
1,1,25,11,1,1,1,1,1,8,7,3,4845
1,2,41,13,3,1,1,1,1,3,7,24,3404
1,1,28,2,2,1,1,1,1,8,7,3,6604
1,2,13,4,3,1,1,1,2,3,3,24,614
1,2,56,21,3,1,2,2,1,3,6,24,2446
1,1,5,18,3,1,1,1,2,2,2,24,16483
1,2,29,15,1,1,1,1,1,7,5,24,1756
1,1,56,5,2,1,1,1,1,3,5,5,2862
3,2,31,14,1,1,1,1,1,8,1,24,1024
1,1,3,17,2,1,3,1,3,10,2,24,16482
3,2,14,14,1,1,1,1,2,7,3,24,749
1,2,41,2,2,2,1,1,1,3,4,24,16481
1,1,49,7,5,1,1,1,1,12,7,5,368
1,1,86,19,5,1,1,1,1,3,4,7,447
3,1,11,4,1,1,1,1,2,3,2,24,1160
2,1,31,24,2,12,1,1,1,12,7,2,2023
3,2,86,7,1,1,1,1,1,3,6,24,465
4,2,2,12,1,1,3,1,3,10,2,24,163
1,2,54,7,2,1,1,1,1,7,5,24,322
1,2,76,25,4,1,1,1,1,3,6,24,481
1,2,29,16,2,3,1,1,1,7,1,24,428
1,2,45,7,1,1,1,1,1,12,6,24,389
1,1,29,17,5,2,1,1,1,4,6,3,16461
1,1,12,15,1,1,1,1,2,3,2,24,1619
1,2,71,8,2,1,1,1,1,3,3,24,2144
1,1,10,9,3,1,2,2,2,3,2,24,863
3,2,3,14,5,1,3,1,3,10,2,24,427
1,2,14,19,2,1,1,1,2,7,3,24,315
1,2,49,5,1,1,1,1,1,8,6,24,3637
1,2,47,7,3,2,1,1,1,8,6,24,438
3,2,5,14,8,1,1,1,2,11,2,24,1123
1,1,41,19,1,1,1,1,1,8,3,1,196
1,1,12,16,2,9,1,1,2,3,2,24,313
1,2,12,2,3,1,1,1,2,3,2,24,4742
3,1,29,2,3,1,1,1,1,3,3,1,4738
1,2,79,14,2,1,1,1,1,9,4,24,1122
1,2,43,20,1,1,1,1,1,7,7,24,1328
1,2,14,8,3,1,1,1,1,3,3,24,2182
1,1,31,9,3,1,1,1,1,7,6,3,1118
1,2,30,14,1,1,2,2,1,7,3,24,1027
1,2,13,14,3,1,1,1,2,3,3,24,1331
3,2,16,27,3,2,1,1,2,7,3,24,1285
3,2,25,7,1,1,1,1,1,8,3,24,429
4,1,47,7,2,3,1,1,1,12,7,1,576
3,2,16,14,1,3,1,1,2,3,3,24,718
1,2,68,20,1,1,1,1,1,7,6,24,2179
1,1,63,35,8,1,1,1,1,4,6,2,16429
1,2,22,6,2,1,1,1,1,7,1,24,2178
1,2,7,27,3,1,1,1,2,3,2,24,826
1,2,75,7,1,1,1,1,1,4,9,24,555
1,2,25,17,2,1,1,1,1,7,1,24,4722
1,2,55,28,3,1,1,1,1,3,1,24,1293
1,1,32,14,3,1,1,1,1,8,6,5,1166
1,2,49,7,4,1,1,1,1,4,8,24,265
4,1,33,7,7,3,1,1,1,8,3,1,991
1,2,51,7,1,1,1,1,1,5,6,24,819
1,2,57,2,1,1,1,1,1,7,9,24,6675
1,1,52,7,1,1,1,1,1,4,6,4,720
1,2,24,2,2,1,1,1,1,4,1,24,16399
1,1,53,5,1,1,1,1,1,3,1,4,6674
1,2,31,9,7,1,1,1,1,4,3,24,990
1,1,10,20,2,2,1,1,2,3,2,24,1020
1,1,13,25,3,2,1,1,2,3,3,1,28
1,1,52,24,1,1,1,1,1,1,6,5,1481
1,1,69,8,1,1,1,1,1,9,4,11,1343
3,1,28,16,3,13,1,1,1,7,1,4,93
1,2,15,11,3,1,1,1,2,7,3,24,4662
1,1,11,7,1,2,1,1,2,3,2,24,757
1,2,59,16,2,1,1,1,1,3,3,24,428
1,2,32,5,1,1,1,1,1,4,3,24,16430
1,1,80,14,1,1,1,1,1,3,6,3,719
1,1,2,2,2,1,3,1,3,10,2,24,6673
1,1,50,20,1,1,1,1,1,7,6,5,2020
1,1,36,5,1,4,1,1,1,8,7,3,4661
1,1,29,15,9,1,1,1,1,4,3,2,1378
1,1,17,8,2,1,1,1,2,7,3,1,1614
1,2,7,15,2,1,1,1,2,2,2,24,2148
1,1,10,29,7,3,1,1,2,3,2,24,1379
1,1,56,8,3,1,1,1,1,7,5,3,1346
3,1,20,29,2,2,1,1,1,7,1,2,1776
3,2,36,9,9,2,1,1,1,9,3,24,1069
1,1,6,1,1,2,1,1,2,2,2,24,6718
2,1,66,3,1,1,1,1,1,3,7,4,300
6,1,58,2,9,1,1,1,1,3,5,3,4581
1,2,9,16,3,1,1,1,2,3,2,24,194
1,2,1,28,3,3,3,1,3,10,2,24,532
1,1,65,4,3,1,2,3,1,3,7,5,781
1,2,46,16,3,3,1,1,1,3,3,24,133
1,1,35,14,3,1,1,1,1,7,7,3,779
1,1,36,17,2,1,1,1,1,8,7,2,16354
3,1,21,25,2,9,1,1,1,4,1,1,401
1,1,50,4,1,1,1,1,1,8,1,3,1116
3,2,31,9,9,1,1,1,1,7,1,24,1251
2,1,6,25,1,1,1,1,2,2,2,24,38
1,1,33,11,3,1,1,1,1,8,3,1,16317
1,2,26,20,1,1,1,1,2,14,3,24,2149
1,2,24,2,3,1,1,1,1,3,1,24,6741
3,2,10,7,5,1,1,1,2,3,2,24,778
1,2,34,21,1,1,1,1,2,4,7,24,2344
3,2,39,14,3,3,1,1,1,7,1,24,889
1,1,34,4,1,1,1,1,1,8,3,3,533
3,2,23,17,1,1,1,1,2,4,3,24,4564
4,2,8,7,3,2,1,1,2,3,2,24,509
1,1,34,4,2,1,1,1,1,3,5,2,531
3,1,7,28,3,1,1,1,2,2,2,24,927
2,1,18,18,2,1,1,1,2,8,3,1,16316
4,1,63,7,1,1,1,1,1,4,6,3,189
3,2,41,7,3,1,1,1,1,8,9,24,887
1,2,10,17,5,1,1,1,2,3,2,24,6740
4,2,1,4,3,1,3,1,3,10,2,24,508
1,1,31,18,5,1,1,1,1,4,3,1,6788
1,2,53,15,1,2,1,1,1,8,7,24,1810
1,1,1,4,2,1,3,1,3,10,2,24,731
1,2,23,2,1,1,1,1,2,4,3,24,6787
1,1,26,5,2,1,1,1,1,8,7,2,16192
3,1,76,20,1,1,1,1,1,7,4,2,1441
1,2,54,2,1,3,1,1,1,4,1,24,16191
1,1,64,20,1,3,1,1,1,4,3,1,1377
2,2,45,2,1,1,1,1,1,7,6,24,16222
3,2,35,16,3,3,1,1,1,3,1,24,160
3,1,58,7,5,1,1,1,1,8,4,2,273
3,1,3,8,3,1,3,1,3,10,2,24,2346
1,1,16,11,1,1,1,1,2,8,3,1,2753
1,2,51,15,3,1,1,1,1,4,6,24,1893
1,1,18,17,3,1,1,1,2,7,3,1,16221
1,1,27,7,5,1,1,1,1,4,3,2,730
1,2,21,17,3,1,1,1,1,7,3,24,6833
1,1,17,17,2,1,1,1,1,8,3,1,16097
1,1,41,11,2,1,1,1,1,7,1,4,4479
4,1,25,28,2,1,1,1,2,4,3,1,1177
1,1,41,14,1,1,1,1,1,7,1,3,648
1,2,43,24,1,1,1,1,1,8,3,24,2091
1,1,38,15,1,1,1,1,1,7,1,5,1610
3,2,3,12,2,1,3,1,3,10,2,24,153
1,2,63,7,5,1,1,1,1,8,9,24,782
1,1,2,31,2,2,3,1,3,10,2,24,16096
1,2,10,21,2,1,1,1,2,3,2,24,2090
1,1,56,16,2,5,1,1,1,7,3,1,313
1,1,13,14,3,1,1,1,2,3,3,1,891
4,1,69,7,5,1,1,1,1,3,4,1,473
1,1,23,2,2,1,1,1,1,4,3,1,6832
1,2,2,36,2,1,3,1,3,10,2,24,1750
3,2,43,16,5,1,1,1,1,4,7,24,61
1,2,69,2,9,1,1,1,1,7,7,24,4467
4,1,40,7,2,1,1,1,1,7,7,1,357
3,2,17,14,5,1,1,1,2,7,3,24,361
3,2,15,9,2,1,1,1,2,7,3,24,1074
1,2,4,25,2,9,1,1,1,9,2,24,729
1,1,43,14,1,1,1,1,1,7,7,3,559
1,1,85,12,3,1,1,1,1,9,4,4,18
1,1,23,2,2,1,1,1,1,8,3,1,6863
1,2,7,7,1,1,1,1,2,2,2,24,262
1,1,61,25,8,1,1,1,1,4,7,2,298
1,1,50,20,1,1,1,1,1,14,6,3,1374
1,1,59,16,2,1,1,1,1,3,5,4,11
1,1,55,12,5,1,1,1,1,4,3,1,557
1,2,35,19,1,1,1,1,1,7,7,24,440
1,2,26,12,1,1,1,1,1,8,3,24,36
1,1,54,35,1,1,1,1,1,3,1,5,16033
4,2,42,7,1,1,1,1,1,4,3,24,668
3,2,14,2,3,1,1,1,2,7,3,24,3594
1,2,49,15,2,1,1,1,1,8,1,24,2087
1,1,49,16,1,1,1,1,1,3,6,3,31
1,2,46,14,2,1,1,1,1,8,3,24,811
3,1,7,2,1,1,1,1,2,2,2,24,4418
1,1,10,8,2,1,1,1,2,3,2,24,1485
3,2,50,29,1,6,1,1,1,7,8,24,1426
3,1,17,2,3,4,1,1,1,7,3,1,6879
1,1,51,7,2,2,1,1,1,4,7,3,482
3,2,45,7,2,1,1,1,1,4,3,24,323
1,1,46,2,1,1,1,1,1,4,7,4,6878
1,1,6,2,3,1,1,1,2,2,2,24,16002
3,2,14,12,3,1,1,1,2,7,3,24,129
3,2,28,14,3,1,1,1,1,3,3,24,1081
1,1,18,19,2,1,1,1,1,7,3,1,347
1,1,32,5,1,1,1,1,1,7,7,4,6932
1,2,50,11,1,1,1,1,1,7,6,24,15932
1,2,2,14,1,2,3,1,3,10,2,24,768
3,1,41,7,1,1,1,1,1,7,7,3,302
1,2,21,15,1,1,1,1,2,8,3,24,1665
1,1,35,4,3,1,1,1,1,3,4,4,185
1,1,31,2,1,1,1,1,1,4,1,2,2762
1,2,34,2,2,1,1,1,1,3,3,24,4362
3,1,16,2,1,14,1,1,2,8,3,1,4361
1,2,44,29,1,1,1,1,1,9,3,24,1191
1,1,45,30,2,1,1,1,1,7,6,3,2623
1,2,13,29,5,1,1,1,2,7,3,24,1412
3,1,19,29,3,2,1,1,2,8,3,1,1173
1,1,35,8,2,1,1,1,1,4,3,1,2139
2,2,24,8,1,1,1,1,1,7,1,24,1984
1,1,43,14,5,1,1,1,1,3,6,4,574
1,2,63,4,3,6,2,2,1,3,4,24,466
1,2,39,10,1,1,1,1,1,3,6,24,4351
1,1,15,14,1,1,1,1,2,7,3,1,812
1,2,3,17,3,1,3,1,3,10,2,24,15887
1,2,57,22,5,3,1,1,1,3,1,24,426
1,2,9,24,3,1,1,1,2,3,2,24,2086
1,2,31,16,1,1,1,1,1,4,6,24,53
1,1,35,1,3,1,1,1,1,6,3,2,4253
3,2,76,24,4,1,1,1,1,7,7,24,1588
3,1,8,2,2,1,1,1,2,3,2,24,4252
1,1,16,17,3,1,1,1,2,7,3,1,15918
1,1,11,9,3,1,2,2,2,3,2,24,1182
1,1,27,29,1,1,1,1,2,7,3,2,1546
1,1,36,8,2,1,1,1,1,8,6,3,2294
3,1,33,29,1,1,1,1,1,8,6,3,1382
1,2,75,22,9,1,1,1,1,7,6,24,388
1,2,27,14,3,1,1,1,1,8,3,24,596
4,2,39,7,7,3,1,1,1,4,7,24,321
1,2,27,1,2,1,1,1,2,4,3,24,6946
3,2,18,2,1,2,1,1,2,8,3,24,15886
1,1,56,17,1,1,1,1,1,7,5,4,15885
1,1,9,28,3,1,1,1,2,3,2,24,1271
1,2,63,7,1,1,1,1,1,4,6,24,603
3,1,29,28,3,1,2,2,1,7,7,3,1109
1,2,1,20,3,1,3,1,3,10,2,24,1853
1,1,47,4,2,8,1,1,1,8,1,1,1279
3,1,51,12,3,1,1,1,1,7,6,7,84
3,1,2,2,2,1,3,1,3,10,2,24,4197
1,1,57,21,3,1,2,2,1,3,7,5,1551
1,1,3,2,2,1,3,1,3,10,2,24,4196
3,1,51,2,3,1,1,1,1,7,1,3,4227
3,1,44,14,2,1,1,1,1,3,1,1,503
3,1,23,14,3,1,1,1,1,8,1,2,1332
4,2,41,2,7,1,1,1,1,14,6,24,4226
